lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",-1,-1,0,0,24,4,2,0.01438246708774066,0.001512069022189715,26282,378,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",-1,1,0,0,24,4,2,0.017467908381575636,0.0019173286326336428,19865,347,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",1,0,0,0,24,4,2,0.038841440772372816,0.0033973252819830477,13465,523,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",1,-1,0,0,24,4,2,0.03910168718650251,0.002970685057164184,17544,686,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",1,1,0,0,24,4,2,0.038376891334250346,0.004665332535665832,7270,279,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.04959096962394571,0.0034995875272876495,15769,782,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.04496429091969101,0.003596505985989394,13722,617,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.04700201207243461,0.0038635234726373605,12425,584,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,1,0.08312101910828025,0.01017305774255596,3140,261,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,1,0.07434739508756472,0.0055781654519859725,9079,675,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,1,0.07345971563981042,0.007863050247173944,4642,341,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.050566120699131585,0.004695417980403287,9097,460,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.05509261716469402,0.0033495839846609185,18841,1038,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.05762405626895528,0.0037798057364811927,15497,893,0.0
