lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 3, -1, 0]","[0, 3, 0, -1]",0,-1,0,0,27,6,2,0.03434623379194299,0.0037319777606038204,10103,347,0.0
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 3, -1, 0]","[0, 3, 0, -1]",0,1,0,0,27,6,2,0.03302929795467109,0.0030378847039321533,14472,478,0.0
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 3, -1, 0]","[0, 3, 0, -1]",-1,0,0,0,27,6,2,0.07009155645981689,0.005216740155887037,9830,689,0.0
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 3, -1, 0]","[0, 3, 0, -1]",-1,-1,0,0,27,6,2,0.07138773760182936,0.004384599806117592,13994,999,0.0
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 3, -1, 0]","[0, 3, 0, -1]",-1,1,0,0,27,6,2,0.07231018576237377,0.004111225225833404,16042,1160,0.0
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,0,0,0,27,6,2,0.031551835157759174,0.0032215391568212945,12424,392,0.0
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,27,6,2,0.03248826291079812,0.003539416696729955,10650,346,0.0
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,1,0,0,27,6,2,0.03201206376561827,0.0023432807549835094,23210,743,0.0
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,0,0,0,27,6,2,0.03634919058496375,0.00267466436119642,20138,732,0.0
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,-1,0,0,27,6,2,0.036739716395171686,0.002928338947382654,17066,627,0.0
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,1,0,0,27,6,2,0.03909258329147832,0.003626393798774309,11946,467,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,36,4,1,0.09667883846287602,0.007909280727202345,5751,556,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,1,0,0,36,4,1,0.08752244165170557,0.008656964616961485,4456,390,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",-1,0,0,0,36,4,2,0.1066704593941118,0.007431666639879153,7031,750,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 1, -1, 0]","[1, 0, 0, -1]",0,0,0,0,36,4,2,0.05446530147895336,0.005551536943141172,7032,383,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 1, -1, 0]","[2, 1, 0, -1]",0,0,0,0,36,4,3,0.002633042833302429,0.0004693707010381956,53930,142,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 1, -1, 0]","[2, 1, 0, -1]",0,1,0,0,36,4,3,0.0021258351495230267,0.00041722756710714775,55978,119,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,36,4,1,0.09561891515994436,0.007871812589709981,5752,550,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,1,0,0,36,4,1,0.09560524286815729,0.009642352036941262,3891,372,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",-1,0,0,0,36,4,2,0.08777932214262803,0.0059054744649268825,9353,821,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 2, -1, 0]","[1, 1, 0, -1]",0,0,0,0,36,4,2,0.03877268420669047,0.0033614976313615166,13721,532,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 2, -1, 0]","[2, 0, 0, -1]",0,0,0,0,36,4,3,0.002763258647667876,0.00045276510053054043,60074,166,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 2, -1, 0]","[2, 0, 0, -1]",0,1,0,0,36,4,3,0.002186772827945835,0.00037062867834432864,71338,156,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[0, 2, -1, 0]","[2, 0, 0, -1]",1,0,0,0,36,4,3,0.003195247631691456,0.0005693855914335093,44441,142,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,36,4,2,0.06984647837806164,0.003921794518169125,17066,1192,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 1, -1, 0]","[1, 1, 0, -1]",0,0,0,0,36,4,3,0.0019028058835966052,0.0003620748323281452,66218,126,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 1, -1, 0]","[1, 1, 0, -1]",-1,1,0,0,36,4,2,0.01711848234831902,0.0020114109237932033,17817,305,0.0
"[0, 3, 0, 0]","[3, 0, 0, 0]","[1, 1, -1, 0]","[1, 1, 0, -1]",1,0,0,0,36,4,3,0.002189736929535776,0.00038606864401107867,66218,145,0.0
